HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
169, Afghanistan,..,..,..,..,2.38,1.01,1.1,1.69,1.24,1.75,3.24,5.37,4.12,4.54
69, Albania,..,17.86,17.18,16.02,13.3,12.04,11.52,10.03,10.74,11.34,11.01,10.08,9.63,9.64
91, Algeria,0.57,2.68,1.44,0.17,0.12,0.1,0.1,0.1,1.15,1.2,1.24,1.07,1.03,1.05
148, Angola,..,..,..,..,0.02,0,0.03,0.03,0.02,0.01,0,0,0,0
78, Antigua and Barbuda,2.73,0.58,2.09,1.79,1.76,1.78,1.74,1.79,2.57,2.34,1.86,1.64,1.53,1.43
46, Argentina,0.02,0.03,0.03,0.22,0.15,0.13,0.11,0.1,0.1,0.08,0.07,0.07,0.1,0.12
81, Armenia,..,4.86,9.53,18.68,18.03,17.73,18.03,19.71,17.9,14.13,13.11,13.35,11.94,11.17
8, Australia,0.76,0.12,0.13,0.14,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.15,0.13,0.12
18, Austria,0.38,0.42,0.92,0.73,0.76,0.75,0.74,0.76,0.73,0.75,0.73,0.71,0.69,0.69
88, Azerbaijan,..,0.1,1.08,4.71,2.67,2.87,2.86,2.34,2.45,2.39,1.7,2.77,2.6,2.65
133, Bangladesh,2.46,3.17,3.69,6.21,9.41,9.38,10.59,9.24,8.67,7.84,6.13,5.41,5.68,6.07
58, Barbados,1.88,2.75,3.7,2.47,1.81,3.16,3.3,4.08,4.02,4.2,3.22,2.18,2.13,2.08
53, Belarus,..,0.2,0.9,0.66,1,1.44,1.6,1.61,1.56,1.65,2.05,2.29,2.41,2.27
14, Belgium,1.75,1.71,1.7,1.78,2.29,2.24,2.25,2.24,2.27,2.26,2.27,2.27,2.27,2.23
110, Belize,4.48,2.24,2.99,4.05,5.67,5.16,4.99,4.71,4.83,4.92,5.45,4.91,4.94,5.29
158, Benin,5.16,4.56,2.45,2.24,1.46,1.61,1.86,1.99,2.29,1.88,1.88,1.54,1.4,1.43
129, Bhutan,..,..,..,..,0.53,0.59,1.02,0.67,0.75,0.98,1.59,1.76,2.38,..
107, Bolivia (Plurinational State of),0.1,0.08,1.51,3.53,4.89,4.35,4.1,3.92,3.57,3.61,3.67,3.75,3.45,3.26
